Aktivitātes veids,Datums,Izlase,Nosaukums,Attālums,Kalorijas,Laiks,Vid. SR,Maks. SR,Aerobā TE,Skrējiena vid. soļu skaits ciklā,Skrējiena maks. soļu skaits ciklā,Vid. temps,Labākais temps,Kopējais kāpums,Kopējais kritums,Vid. soļa garums,Vid. vertikālais koeficients,Vid. vertikālās svārstības,Vid. saskares ar zemi laiks,Vid. GCT balanss,Training Stress Score®,Soļi,Dekompresija,Labākais apļa laiks,Apļu skaits,Kustības laiks,Pagājušais laiks,Min.augstums,Maks.augstums
Skriešana,2026-04-30 20:57:58,false,"Jelgava Skriešana","8.94","619","01:00:02","127","135","2.2","158","162","6:43","5:28","36","35","0.94","12.1","11.6","271","50.3% K / 49.7% L","0.0","9,182","Nē","00:01:17.3","36","00:59:57","01:00:02","2","11"
Skriešana,2026-04-29 20:09:08,false,"Jelgava - 6x1km (3:50-4:00)","12.60","964","01:14:27","154","194","4.0","144","255","5:55","2:40","29","31","1.17","10.4","11.5","290","50.5% K / 49.5% L","0.0","10,342","Nē","00:01:22.0","15","01:10:05","01:14:27","3","10"
Skriešana,2026-04-28 18:48:18,false,"Jelgava - 60' 115-125","9.04","624","01:00:03","126","139","2.2","158","163","6:39","5:40","39","41","0.95","12.1","11.7","267","50.3% K / 49.7% L","0.0","8,390","Nē","00:00:03.2","39","00:59:55","01:00:03","3","18"
Skriešana,2026-04-26 15:00:03,false,"Kaunas Skriešana","10.00","707","00:37:32","195","208","5.0","164","190","3:45","2:57","99","102","1.63","7.7","13.0","215","50.0% K / 50.0% L","0.0","5,812","Nē","00:00:47.3","40","00:37:17","00:37:29","18","36"
Skriešana,2026-04-26 13:47:16,false,"Kaunas Skriešana","3.99","284","00:23:11","141","160","2.2","157","226","5:49","4:00","72","69","1.08","10.4","11.3","264","50.2% K / 49.8% L","0.0","3,466","Nē","00:01:12.3","16","00:22:41","00:52:13","26","42"
Skriešana,2026-04-25 20:12:34,false,"Kaunas Skriešana","8.42","579","00:51:35","137","175","2.4","152","170","6:07","2:49","84","88","1.08","10.7","11.4","272","50.8% K / 49.2% L","0.0","7,480","Nē","00:00:19.6","38","00:50:38","00:53:48","26","42"
Skriešana,2026-04-23 17:58:03,false,"Jelgava - 75' 110-125","11.36","779","01:13:53","128","139","2.4","158","163","6:30","5:52","30","30","0.97","11.8","11.6","268","50.3% K / 49.7% L","0.0","10,950","Nē","00:25:00","2","01:13:53","01:13:53","3","11"
Skriešana,2026-04-22 20:57:01,false,"Jelgava - 300mx10 55-57s","9.77","774","01:04:11","149","197","3.5","130","182","6:34","2:41","23","22","1.11","9.8","10.0","322","50.0% K / 50.0% L","0.0","7,902","Nē","00:00:50.1","27","00:57:59","01:04:11","5","10"
Skriešana,2026-04-21 17:45:33,false,"Jelgava - 15' + 45' (140-145) + 15'","12.11","839","01:09:32","143","159","3.0","157","163","5:45","4:16","47","50","1.10","10.9","12.2","260","50.7% K / 49.3% L","0.0","9,862","Nē","00:00:17.5","50","01:09:23","01:09:32","3","12"
Skriešana,2026-04-18 20:38:30,false,"Jelgava Skriešana","20.56","1,375","02:16:55","128","167","3.0","158","172","6:40","4:11","90","90","0.95","12.3","11.7","270","50.2% K / 49.8% L","0.0","20,786","Nē","00:00:25.2","83","02:16:37","02:18:35","2","12"
