Aktivitātes veids,Datums,Izlase,Nosaukums,Attālums,Kalorijas,Laiks,Vid. SR,Maks. SR,Aerobā TE,Skrējiena vid. soļu skaits ciklā,Skrējiena maks. soļu skaits ciklā,Vid. temps,Labākais temps,Kopējais kāpums,Kopējais kritums,Vid. soļa garums,Vid. vertikālais koeficients,Vid. vertikālās svārstības,Vid. saskares ar zemi laiks,Vid. GCT balanss,Training Stress Score®,Soļi,Dekompresija,Labākais apļa laiks,Apļu skaits,Kustības laiks,Pagājušais laiks,Min.augstums,Maks.augstums
Skriešana,2026-03-31 20:49:11,false,"Jelgava - 15' + 45' (140-145) + 15'","12.92","860","01:12:54","140","157","3.0","156","167","5:39","4:23","61","61","1.13","10.9","12.4","262","50.4% K / 49.6% L","0.0","10,204","Nē","00:00:07.7","53","01:12:45","01:12:54","3","10"
Skriešana,2026-03-28 16:24:04,false,"Jelgava Skriešana","20.36","1,382","02:00:02","136","150","3.2","157","161","5:54","5:11","99","97","1.08","11.6","12.6","261","50.7% K / 49.3% L","0.0","18,296","Nē","00:00:34.1","82","01:59:48","02:04:20","2","15"
Skriešana,2026-03-27 18:00:41,false,"Jelgava - 15' + 45' (140-145) + 15'","13.06","881","01:15:08","139","163","3.0","156","163","5:45","3:48","36","35","1.11","11.0","12.4","263","50.6% K / 49.4% L","0.0","10,928","Nē","00:00:08.1","54","01:15:00","01:15:35","2","11"
Skriešana,2026-03-25 17:38:19,false,"Jelgava - Hill 12x150m","12.23","992","01:24:30","148","195","3.7","135","248","6:55","2:25","48","50","1.08","10.7","10.9","324","50.0% K / 50.0% L","0.0","10,622","Nē","00:00:23.6","34","01:16:16","01:24:35","4","11"
Skriešana,2026-03-24 18:57:06,false,"Jelgava - 15' + 45' (140-145) + 15'","12.38","817","01:12:23","136","153","2.8","155","166","5:51","4:53","38","38","1.10","10.5","11.6","261","50.7% K / 49.3% L","0.0","10,202","Nē","00:00:11.2","51","01:11:51","01:12:23","3","10"
Skriešana,2026-03-23 20:50:15,false,"Jelgava - 45' 120-125","6.49","437","00:50:03","121","137","1.8","157","162","7:43","6:27","26","25","0.82","13.2","11.0","279","50.6% K / 49.4% L","0.0","6,942","Nē","00:00:32.2","27","00:49:57","00:50:03","4","11"
Skriešana,2026-03-22 13:03:03,false,"Saldus Skriešana","1.36","211","00:24:56","127","157","1.5","71","215","18:23","3:34","20","18","0.88","9.1","7.1","411","50.9% K / 49.1% L","0.0","1,616","Nē","00:01:37.2","6","00:10:03","00:24:56","82","97"
Skriešana,2026-03-22 12:24:58,false,"Saldus Skriešana","5.92","456","00:24:18","194","204","4.5","160","213","4:06","2:41","83","81","1.49","8.8","13.2","227","50.0% K / 50.0% L","0.0","3,686","Nē","00:00:38.8","24","00:24:10","00:24:18","91","123"
Skriešana,2026-03-22 11:42:06,false,"Saldus Skriešana","3.75","399","00:34:20","145","169","2.4","118","255","9:09","2:22","38","39","0.99","11.4","10.5","338","50.1% K / 49.9% L","0.0","3,776","Nē","00:00:03.8","16","00:25:47","00:34:20","85","103"
Skriešana,2026-03-21 15:09:14,false,"Jelgava - 60' 115-135 + 5x100m","10.37","734","01:08:21","138","186","2.6","147","185","6:36","2:24","82","81","1.01","11.6","11.6","292","50.1% K / 49.9% L","0.0","9,124","Nē","00:00:06.2","48","01:07:32","01:08:21","3","10"
Skriešana,2026-03-20 18:07:38,false,"Jelgava - 15' + 45' (140-145) + 15'","12.49","865","01:15:03","141","168","3.0","155","160","6:01","4:59","43","43","1.07","11.0","11.8","264","50.4% K / 49.6% L","0.0","10,490","Nē","00:00:02.9","52","01:14:54","01:16:19","2","11"
Skriešana,2026-03-18 18:17:45,false,"Jelgava - 60' 115-135 + 5x100m","10.84","752","01:07:56","133","178","2.6","154","177","6:16","2:44","51","53","1.03","11.2","11.5","268","50.5% K / 49.5% L","0.0","9,382","Nē","00:00:07.1","51","01:07:36","01:07:56","3","11"
Skriešana,2026-03-17 17:59:38,false,"Jelgava - 15' + 45' (140-145) + 15'","13.05","883","01:15:26","140","177","3.0","159","164","5:47","3:48","44","46","1.09","11.1","12.1","260","50.3% K / 49.7% L","0.0","10,984","Nē","00:00:24.4","54","01:15:10","01:15:38","2","11"
Skriešana,2026-03-16 17:54:52,false,"Jelgava - 45' 120-125","6.42","446","00:45:02","125","138","2.0","158","169","7:01","5:33","25","26","0.90","12.3","11.2","276","50.7% K / 49.3% L","0.0","6,646","Nē","00:00:02.2","27","00:44:52","00:45:13","4","11"
Skriešana,2026-03-14 20:12:55,false,"Jelgava - 30' 169-173","12.10","845","01:12:46","149","177","3.7","145","255","6:01","3:13","62","64","1.13","11.0","11.7","283","50.0% K / 50.0% L","0.0","9,890","Nē","00:00:42.8","50","01:08:12","01:12:46","3","10"
Skriešana,2026-03-13 17:58:27,false,"Jelgava Skriešana","14.77","981","01:30:07","136","163","2.9","158","165","6:06","4:31","46","48","1.04","11.6","12.1","266","50.5% K / 49.5% L","0.0","13,860","Nē","00:01:49.6","30","01:30:01","01:30:07","2","11"
Skriešana,2026-03-12 05:46:13,false,"Jelgava - 60' 7:00/km","8.62","588","01:00:24","128","137","2.1","161","167","7:01","6:30","75","78","0.88","11.8","10.6","274","50.0% K / 50.0% L","0.0","9,388","Nē","00:00:24.0","19","01:00:20","01:00:24","3","10"
Skriešana,2026-03-11 17:48:53,false,"Jelgava - Hill 12x150m","11.35","888","01:20:33","147","187","3.1","134","255","7:06","2:29","47","49","1.06","10.6","10.6","337","49.8% K / 50.2% L","0.0","10,188","Nē","00:00:01.5","30","01:13:49","01:20:33","5","12"
Skriešana,2026-03-10 19:32:37,false,"Jelgava - 15' + 45' (140-145) + 15'","13.35","857","01:15:02","138","154","3.0","157","161","5:37","4:26","40","107","1.13","10.8","12.2","262","50.5% K / 49.5% L","0.0","10,702","Nē","00:00:01.7","29","01:14:56","01:15:02","3","72"
Skriešana,2026-03-09 18:51:54,false,"Jelgava - 45' 120-125","6.89","464","00:45:03","127","144","2.1","157","162","6:32","4:54","19","18","0.98","11.9","11.8","267","50.6% K / 49.4% L","0.0","6,088","Nē","00:00:02.6","2","00:45:03","00:45:03","5","11"
